 ,rate,f1
feature num1,0.5443833464257659,0.5453777681563947
feature num2,0.533451165226499,0.5343777433446518
feature num3,0.5606834249803614,0.5615939938731721
feature num4,0.5982587064676617,0.5991517270074415
feature num5,0.6516103692065985,0.65234457732504
feature num6,0.6618224666142969,0.662509277366119
feature num7,0.6734747316051322,0.6742109118258287
feature num8,0.6933752291175701,0.694084300996639
feature num9,0.713668499607227,0.7143351756282232
feature num10,0.7308195862791307,0.7314399822291698
feature num11,0.7310159727677403,0.731638770409873
feature num12,0.7341581565854937,0.7347767180792687
feature num13,0.7314742079078294,0.7320999974769903
feature num14,0.7427336999214453,0.743329859759511
feature num15,0.7392642052893428,0.7398712103957406
feature num16,0.7390678188007331,0.739676535911502
feature num17,0.7496072270227807,0.7501882518732457
feature num18,0.7451557999476303,0.7457380287740343
feature num19,0.7494108405341713,0.7499909889777175
feature num20,0.7543859649122807,0.7549582511934425
